Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
WHR,02/20/2008,88.29,89.0,86.88,88.82,1534100.0,0.0,1.0
WHR,02/21/2008,89.18,90.99,88.91,89.37,1209100.0,0.0,1.0
WHR,02/22/2008,89.14,89.35,86.4,88.72,1218700.0,0.43,1.0
WHR,02/25/2008,89.09,89.84,87.12,88.9,1231000.0,0.0,1.0
WHR,02/26/2008,88.38,92.47,88.25,91.53,1507300.0,0.0,1.0
WHR,02/27/2008,91.15,95.01,90.61,93.9,2105600.0,0.0,1.0
WHR,02/28/2008,93.25,93.25,89.22,90.38,1626500.0,0.0,1.0
WHR,02/29/2008,89.27,89.47,84.16,84.37,2086300.0,0.0,1.0
WHR,03/03/2008,85.54,87.99,83.61,87.85,2057200.0,0.0,1.0
WHR,03/04/2008,86.94,88.57,86.09,87.87,1953000.0,0.0,1.0
WHR,03/05/2008,84.71,87.15,83.61,84.34,2671800.0,0.0,1.0
WHR,03/06/2008,83.76,84.15,81.79,82.38,1682600.0,0.0,1.0
WHR,03/07/2008,81.91,85.33,81.37,83.74,1871100.0,0.0,1.0
WHR,03/10/2008,83.51,84.38,82.2,82.26,1356000.0,0.0,1.0
WHR,03/11/2008,83.51,85.81,82.8,85.05,1573100.0,0.0,1.0
WHR,03/12/2008,85.2,86.85,83.52,85.1,1081600.0,0.0,1.0
WHR,03/13/2008,83.03,85.56,81.62,84.98,1621500.0,0.0,1.0
WHR,03/14/2008,85.78,85.78,82.0,82.93,1070300.0,0.0,1.0
WHR,03/17/2008,80.8,82.52,78.9,80.92,2154600.0,0.0,1.0
WHR,03/18/2008,82.7,86.01,81.1,85.47,1683700.0,0.0,1.0
WHR,03/19/2008,86.06,87.31,85.25,85.45,1804700.0,0.0,1.0
WHR,03/20/2008,85.79,89.09,84.31,88.75,1443200.0,0.0,1.0
WHR,03/24/2008,89.0,90.57,87.9,88.38,1461200.0,0.0,1.0
WHR,03/25/2008,88.8,89.04,86.65,87.67,861700.0,0.0,1.0
WHR,03/26/2008,87.66,88.76,85.95,86.25,1235900.0,0.0,1.0
WHR,03/27/2008,86.9,87.27,85.43,85.49,960600.0,0.0,1.0
WHR,03/28/2008,86.0,86.59,85.2,85.4,574900.0,0.0,1.0
WHR,03/31/2008,85.08,87.33,84.21,86.78,886800.0,0.0,1.0
WHR,04/01/2008,87.78,91.86,87.01,91.28,2002700.0,0.0,1.0
WHR,04/02/2008,92.0,92.59,91.0,91.32,1442900.0,0.0,1.0
WHR,04/03/2008,90.32,91.98,89.71,91.56,1009700.0,0.0,1.0
WHR,04/04/2008,91.95,92.2,90.03,91.21,849300.0,0.0,1.0
WHR,04/07/2008,91.8,91.86,89.7,89.9,951200.0,0.0,1.0
WHR,04/08/2008,89.22,90.29,88.8,89.49,1154000.0,0.0,1.0
WHR,04/09/2008,89.36,89.79,86.75,87.05,1050000.0,0.0,1.0
WHR,04/10/2008,86.4,86.84,84.52,85.21,1887000.0,0.0,1.0
WHR,04/11/2008,81.98,83.5,81.75,82.73,2854300.0,0.0,1.0
WHR,04/14/2008,82.86,82.86,80.64,81.14,1927500.0,0.0,1.0
WHR,04/15/2008,81.5,82.11,79.41,80.17,2264800.0,0.0,1.0
WHR,04/16/2008,80.68,81.39,78.0,80.87,3693600.0,0.0,1.0
WHR,04/17/2008,80.4,81.76,80.08,81.44,3368900.0,0.0,1.0
WHR,04/18/2008,82.34,83.35,80.94,82.01,2969700.0,0.0,1.0
WHR,04/21/2008,82.01,83.01,81.41,82.97,930100.0,0.0,1.0
WHR,04/22/2008,82.3,82.59,79.99,80.84,1083700.0,0.0,1.0
WHR,04/23/2008,80.82,83.3,80.82,82.21,1765000.0,0.0,1.0
WHR,04/24/2008,74.5,75.77,73.2,73.89,6668700.0,0.0,1.0
WHR,04/25/2008,74.14,76.66,73.7,76.4,2556600.0,0.0,1.0
